classification_id,user_name,user_id,workflow_id,task,created_at,subject_id,extractor,data.no-there-are-no-jets-in-this-image-sequence,data.aggregation_version,data.yes-there-is-at-least-one-jet-in-this-image-sequence
341819708,SophieMu,2058613.0,18563,T0,2021-06-19 15:24:22 UTC,62835416,question_extractor,1.0,3.6.0,
341819727,SophieMu,2058613.0,18563,T0,2021-06-19 15:24:30 UTC,62835309,question_extractor,1.0,3.6.0,
341819748,SophieMu,2058613.0,18563,T0,2021-06-19 15:24:39 UTC,62834100,question_extractor,1.0,3.6.0,
341819771,SophieMu,2058613.0,18563,T0,2021-06-19 15:24:46 UTC,62832653,question_extractor,1.0,3.6.0,
341819787,SophieMu,2058613.0,18563,T0,2021-06-19 15:24:54 UTC,62835803,question_extractor,1.0,3.6.0,
341819822,SophieMu,2058613.0,18563,T0,2021-06-19 15:25:11 UTC,62833436,question_extractor,1.0,3.6.0,
341819842,SophieMu,2058613.0,18563,T0,2021-06-19 15:25:19 UTC,62835198,question_extractor,1.0,3.6.0,
341819861,SophieMu,2058613.0,18563,T0,2021-06-19 15:25:29 UTC,62835642,question_extractor,1.0,3.6.0,
341819877,SophieMu,2058613.0,18563,T0,2021-06-19 15:25:37 UTC,62835137,question_extractor,1.0,3.6.0,
341819891,SophieMu,2058613.0,18563,T0,2021-06-19 15:25:43 UTC,62832860,question_extractor,1.0,3.6.0,
341819903,SophieMu,2058613.0,18563,T0,2021-06-19 15:25:49 UTC,62833469,question_extractor,1.0,3.6.0,
341819917,SophieMu,2058613.0,18563,T0,2021-06-19 15:25:58 UTC,62833936,question_extractor,,3.6.0,1.0
341819933,SophieMu,2058613.0,18563,T0,2021-06-19 15:26:08 UTC,62835015,question_extractor,1.0,3.6.0,
341819946,SophieMu,2058613.0,18563,T0,2021-06-19 15:26:15 UTC,62833560,question_extractor,1.0,3.6.0,
341819962,SophieMu,2058613.0,18563,T0,2021-06-19 15:26:22 UTC,62835020,question_extractor,1.0,3.6.0,
341819980,SophieMu,2058613.0,18563,T0,2021-06-19 15:26:30 UTC,62835041,question_extractor,1.0,3.6.0,
341819997,SophieMu,2058613.0,18563,T0,2021-06-19 15:26:40 UTC,62833707,question_extractor,1.0,3.6.0,
341820004,SophieMu,2058613.0,18563,T0,2021-06-19 15:26:45 UTC,62835855,question_extractor,,3.6.0,1.0
341820015,SophieMu,2058613.0,18563,T0,2021-06-19 15:26:53 UTC,62833768,question_extractor,1.0,3.6.0,
341820022,SophieMu,2058613.0,18563,T0,2021-06-19 15:26:59 UTC,62833122,question_extractor,1.0,3.6.0,
341820036,SophieMu,2058613.0,18563,T0,2021-06-19 15:27:05 UTC,62832819,question_extractor,1.0,3.6.0,
341820046,SophieMu,2058613.0,18563,T0,2021-06-19 15:27:09 UTC,62832968,question_extractor,1.0,3.6.0,
341820054,SophieMu,2058613.0,18563,T0,2021-06-19 15:27:18 UTC,62834099,question_extractor,1.0,3.6.0,
341820085,SophieMu,2058613.0,18563,T0,2021-06-19 15:27:34 UTC,62833237,question_extractor,1.0,3.6.0,
341820098,SophieMu,2058613.0,18563,T0,2021-06-19 15:27:40 UTC,62833910,question_extractor,1.0,3.6.0,
341820136,SophieMu,2058613.0,18563,T0,2021-06-19 15:27:54 UTC,62833413,question_extractor,1.0,3.6.0,
341820154,SophieMu,2058613.0,18563,T0,2021-06-19 15:28:00 UTC,62833732,question_extractor,1.0,3.6.0,
341820174,SophieMu,2058613.0,18563,T0,2021-06-19 15:28:08 UTC,62835468,question_extractor,,3.6.0,1.0
341820250,SophieMu,2058613.0,18563,T0,2021-06-19 15:28:37 UTC,62835842,question_extractor,,3.6.0,1.0
341820331,SophieMu,2058613.0,18563,T0,2021-06-19 15:29:11 UTC,62835024,question_extractor,,3.6.0,1.0
341820348,SophieMu,2058613.0,18563,T0,2021-06-19 15:29:18 UTC,62835380,question_extractor,1.0,3.6.0,
341820363,SophieMu,2058613.0,18563,T0,2021-06-19 15:29:23 UTC,62833024,question_extractor,1.0,3.6.0,
341820393,SophieMu,2058613.0,18563,T0,2021-06-19 15:29:31 UTC,62833263,question_extractor,1.0,3.6.0,
341820407,SophieMu,2058613.0,18563,T0,2021-06-19 15:29:39 UTC,62835124,question_extractor,1.0,3.6.0,
341820420,SophieMu,2058613.0,18563,T0,2021-06-19 15:29:49 UTC,62835122,question_extractor,1.0,3.6.0,
341820434,SophieMu,2058613.0,18563,T0,2021-06-19 15:29:56 UTC,62833253,question_extractor,1.0,3.6.0,
341820449,SophieMu,2058613.0,18563,T0,2021-06-19 15:30:02 UTC,62835647,question_extractor,,3.6.0,1.0
341820462,SophieMu,2058613.0,18563,T0,2021-06-19 15:30:08 UTC,62833569,question_extractor,1.0,3.6.0,
341820470,SophieMu,2058613.0,18563,T0,2021-06-19 15:30:13 UTC,62833238,question_extractor,1.0,3.6.0,
341820484,SophieMu,2058613.0,18563,T0,2021-06-19 15:30:18 UTC,62832787,question_extractor,1.0,3.6.0,
341827554,Zofia,248953.0,18563,T0,2021-06-19 16:29:39 UTC,62832788,question_extractor,1.0,3.6.0,
341827575,Zofia,248953.0,18563,T0,2021-06-19 16:29:48 UTC,62835426,question_extractor,1.0,3.6.0,
341827597,Zofia,248953.0,18563,T0,2021-06-19 16:30:01 UTC,62834026,question_extractor,1.0,3.6.0,
341827615,Zofia,248953.0,18563,T0,2021-06-19 16:30:11 UTC,62833520,question_extractor,1.0,3.6.0,
341827647,Zofia,248953.0,18563,T0,2021-06-19 16:30:33 UTC,62835729,question_extractor,,3.6.0,1.0
341827664,Zofia,248953.0,18563,T0,2021-06-19 16:30:46 UTC,62835042,question_extractor,1.0,3.6.0,
341827688,Zofia,248953.0,18563,T0,2021-06-19 16:31:05 UTC,62835126,question_extractor,1.0,3.6.0,
341827714,Zofia,248953.0,18563,T0,2021-06-19 16:31:16 UTC,62833018,question_extractor,1.0,3.6.0,
341827782,Zofia,248953.0,18563,T0,2021-06-19 16:31:54 UTC,62835709,question_extractor,,3.6.0,1.0
341827803,Zofia,248953.0,18563,T0,2021-06-19 16:32:06 UTC,62835198,question_extractor,1.0,3.6.0,
341827855,Zofia,248953.0,18563,T0,2021-06-19 16:32:42 UTC,62835537,question_extractor,1.0,3.6.0,
341827878,Zofia,248953.0,18563,T0,2021-06-19 16:32:53 UTC,62833778,question_extractor,1.0,3.6.0,
341827909,Zofia,248953.0,18563,T0,2021-06-19 16:33:05 UTC,62833262,question_extractor,,3.6.0,1.0
341827936,Zofia,248953.0,18563,T0,2021-06-19 16:33:17 UTC,62833487,question_extractor,1.0,3.6.0,
341827961,Zofia,248953.0,18563,T0,2021-06-19 16:33:29 UTC,62835336,question_extractor,1.0,3.6.0,
341827981,Zofia,248953.0,18563,T0,2021-06-19 16:33:38 UTC,62833969,question_extractor,1.0,3.6.0,
341828001,Zofia,248953.0,18563,T0,2021-06-19 16:33:48 UTC,62833518,question_extractor,1.0,3.6.0,
341828031,Zofia,248953.0,18563,T0,2021-06-19 16:33:59 UTC,62835876,question_extractor,,3.6.0,1.0
341828054,Zofia,248953.0,18563,T0,2021-06-19 16:34:09 UTC,62832661,question_extractor,1.0,3.6.0,
